178,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
179,Water and Wastewater Treatment Plant and System Operators
180,Security and Fire Alarm Systems Installers
181,Chemical Equipment Operators and Tenders
182,Farm and Ranch Managers
183,Surgeons
184,Plumbers
185,"Maintenance Workers, Machinery"
186,Biochemists and Biophysicists
187,"Computer, Automated Teller, and Office Machine Repairers"
188,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
189,Mechanical Door Repairers
190,"Software Developers, Applications"
191,Automotive Specialty Technicians
192,Environmental Restoration Planners
193,Cabinetmakers and Bench Carpenters
194,Energy Auditors
195,Precision Agriculture Technicians
196,Reinforcing Iron and Rebar Workers
197,First-Line Supervisors of Production and Operating Workers
198,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
199,Mapping Technicians
200,"Environmental Scientists and Specialists, Including Health"
201,Signal and Track Switch Repairers
202,Foundry Mold and Coremakers
203,Computer User Support Specialists
204,Boilermakers
205,Geological Sample Test Technicians
206,Forensic Science Technicians
207,Rail-Track Laying and Maintenance Equipment Operators
208,Engine and Other Machine Assemblers
209,Pipe Fitters and Steamfitters
210,"Electric Motor, Power Tool, and Related Repairers"
211,"Welders, Cutters, and Welder Fitters"
212,Heating and Air Conditioning Mechanics and Installers
213,Logistics Analysts
214,Range Managers
215,Radiologists
216,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
217,Web Administrators
218,Video Game Designers
219,Information Technology Project Managers
220,Biologists
221,Database Administrators
222,Bioinformatics Scientists
223,Foresters
224,Instructional Designers and Technologists
225,Electricians
226,Outdoor Power Equipment and Other Small Engine Mechanics
227,Medical Appliance Technicians
228,Technical Writers
229,"Insurance Appraisers, Auto Damage"
230,Sheet Metal Workers
231,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
232,Museum Technicians and Conservators
233,Bioinformatics Technicians
234,Telecommunications Line Installers and Repairers
235,Security Managers
236,First-Line Supervisors of Construction Trades and Extraction Workers
237,Farm Equipment Mechanics and Service Technicians
238,Biomass Plant Technicians
239,Municipal Fire Fighting and Prevention Supervisors
240,Geothermal Technicians
241,Machinists
242,Agricultural Technicians
243,Weatherization Installers and Technicians
244,Logistics Managers
245,Natural Sciences Managers
246,"Medical Scientists, Except Epidemiologists"
247,Atmospheric and Space Scientists
248,Helpers--Carpenters
249,Structural Metal Fabricators and Fitters
250,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
251,Gas Compressor and Gas Pumping Station Operators
252,Emergency Management Directors
253,Audio-Visual and Multimedia Collections Specialists
254,"Paving, Surfacing, and Tamping Equipment Operators"
255,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
256,"Tool Grinders, Filers, and Sharpeners"
257,Logisticians
258,Stationary Engineers and Boiler Operators
259,Marketing Managers
260,Cement Masons and Concrete Finishers
261,Purchasing Managers
262,Freight and Cargo Inspectors
263,Energy Brokers
264,Forest and Conservation Technicians
265,Timing Device Assemblers and Adjusters
266,Document Management Specialists
267,Climate Change Analysts
268,Radiologic Technologists
